"CAINC6N Compensation of Employees by NAICS Industry"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2018"
"17001","Adams, IL","708","        Clothing and clothing accessories stores",6766
"17001","Adams, IL","709","        Sporting goods, hobby, musical instrument, and book stores",4176
"17001","Adams, IL","711","        General merchandise stores",26458
"17001","Adams, IL","712","        Miscellaneous store retailers",5505
"17001","Adams, IL","713","        Nonstore retailers",2606
"17001","Adams, IL","800","      Transportation and warehousing",68662
"17001","Adams, IL","801","        Air transportation",0
"17001","Adams, IL","802","        Rail transportation",2529
"17001","Adams, IL","803","        Water transportation",0
"17001","Adams, IL","804","        Truck transportation",52812
"17001","Adams, IL","805","        Transit and ground passenger transportation","(D)"
"17001","Adams, IL","806","        Pipeline transportation",0
"17001","Adams, IL","807","        Scenic and sightseeing transportation",0
"17001","Adams, IL","808","        Support activities for transportation","(D)"
"17001","Adams, IL","809","        Couriers and messengers",9300
"17001","Adams, IL","811","        Warehousing and storage","(D)"
"17001","Adams, IL","900","      Information",26775
"17001","Adams, IL","901","        Publishing industries (except Internet)","(D)"
"17001","Adams, IL","902","        Motion picture and sound recording industries","(D)"
"17001","Adams, IL","903","        Broadcasting (except Internet)",7080
"17001","Adams, IL","904","        Internet publishing and broadcasting 4/","(NA)"
"17001","Adams, IL","905","        Telecommunications",12595
"17001","Adams, IL","906","        Data processing, hosting, and related services","(D)"
"17001","Adams, IL","907","        Other information services 4/","(D)"
"17001","Adams, IL","1000","      Finance and insurance",111718
"17001","Adams, IL","1001","        Monetary Authorities-central bank",0
"17001","Adams, IL","1002","        Credit intermediation and related activities",39147
"17001","Adams, IL","1003","        Securities, commodity contracts, and other financial investments and related activities",19737
"17001","Adams, IL","1004","        Insurance carriers and related activities",52834
"17001","Adams, IL","1005","        Funds, trusts, and other financial vehicles",0
"17001","Adams, IL","1100","      Real estate and rental and leasing",27258
"17001","Adams, IL","1101","        Real estate",4446
"17001","Adams, IL","1102","        Rental and leasing services",22812
"17001","Adams, IL","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",0
"17001","Adams, IL","1200","      Professional, scientific, and technical services",47828
"17001","Adams, IL","1300","      Management of companies and enterprises",14646
"17001","Adams, IL","1400","      Administrative and support and waste management and remediation services",94844
"17001","Adams, IL","1401","        Administrative and support services",85172
"17001","Adams, IL","1402","        Waste management and remediation services",9672
"17001","Adams, IL","1500","      Educational services",24255
"17001","Adams, IL","1600","      Health care and social assistance",410801
"17001","Adams, IL","1601","        Ambulatory health care services",170138
"17001","Adams, IL","1602","        Hospitals","(D)"
"17001","Adams, IL","1603","        Nursing and residential care facilities",50303
"17001","Adams, IL","1604","        Social assistance","(D)"
"17001","Adams, IL","1700","      Arts, entertainment, and recreation",8836
"17001","Adams, IL","1701","        Performing arts, spectator sports, and related industries","(D)"
"17001","Adams, IL","1702","        Museums, historical sites, and similar institutions","(D)"
"17001","Adams, IL","1703","        Amusement, gambling, and recreation industries",7565
"17001","Adams, IL","1800","      Accommodation and food services",59325
"17001","Adams, IL","1801","        Accommodation",5278
"17001","Adams, IL","1802","        Food services and drinking places",54047
"17001","Adams, IL","1900","      Other services (except government and government enterprises)",69758
"17001","Adams, IL","1901","        Repair and maintenance",19248
"17001","Adams, IL","1902","        Personal and laundry services",17526
"17001","Adams, IL","1903","        Religious, grantmaking, civic, professional, and similar organizations",30133
"17001","Adams, IL","1904","        Private households",2851
"17001","Adams, IL","2000","    Government and government enterprises",254504
"17001","Adams, IL","2001","      Federal civilian",20855
"17001","Adams, IL","2002","      Military",4366
"17001","Adams, IL","2010","      State and local",229283
"17001","Adams, IL","2011","        State government","(D)"
"17001","Adams, IL","2012","        Local government","(D)"
"17003","Alexander, IL","","Total compensation of employees",""
"17003","Alexander, IL","1","Compensation of employees (thousands of dollars) 1/",72931
"17003","Alexander, IL","5","  Wages and salaries",54895
"17003","Alexander, IL","6","  Supplements to wages and salaries",18036
"17003","Alexander, IL","7","    Employer contributions for employee pension and insurance funds 2/",14396
"17003","Alexander, IL","8","    Employer contributions for government social insurance",3640
"17003","Alexander, IL","9","Average compensation per job (dollars) 3/",54918
"17003","Alexander, IL","","Compensation of employees by industry",""
"17003","Alexander, IL","81","  Farm compensation",1076
"17003","Alexander, IL","82","  Nonfarm compensation",71855
"17003","Alexander, IL","90","    Private nonfarm compensation",47399
"17003","Alexander, IL","100","      Forestry, fishing, and related activities","(D)"
"17003","Alexander, IL","101","        Forestry and logging",0
"17003","Alexander, IL","102","        Fishing, hunting and trapping",0
"17003","Alexander, IL","103","        Support activities for agriculture and forestry","(D)"
"17003","Alexander, IL","200","      Mining, quarrying, and oil and gas extraction","(D)"
"17003","Alexander, IL","201","        Oil and gas extraction",0
"17003","Alexander, IL","202","        Mining (except oil and gas)","(D)"
"17003","Alexander, IL","203","        Support activities for mining",0
"17003","Alexander, IL","300","      Utilities",3689
"17003","Alexander, IL","400","      Construction",411
"17003","Alexander, IL","401","        Construction of buildings","(D)"
"17003","Alexander, IL","402","        Heavy and civil engineering construction",0
"17003","Alexander, IL","403","        Specialty trade contractors","(D)"
"17003","Alexander, IL","500","      Manufacturing",8310
"17003","Alexander, IL","510","        Durable goods manufacturing","(D)"
"17003","Alexander, IL","511","          Wood product manufacturing","(D)"
"17003","Alexander, IL","512","          Nonmetallic mineral product manufacturing",0
"17003","Alexander, IL","513","          Primary metal manufacturing",0
"17003","Alexander, IL","514","          Fabricated metal product manufacturing",0
"17003","Alexander, IL","515","          Machinery manufacturing",0
"17003","Alexander, IL","516","          Computer and electronic product manufacturing",0
"17003","Alexander, IL","517","          Electrical equipment, appliance, and component manufacturing",0
"17003","Alexander, IL","518","          Motor vehicles, bodies and trailers, and parts manufacturing",0
"17003","Alexander, IL","519","          Other transportation equipment manufacturing",0
"17003","Alexander, IL","521","          Furniture and related product manufacturing",0
"17003","Alexander, IL","522","          Miscellaneous manufacturing",0
"17003","Alexander, IL","530","        Nondurable goods manufacturing","(D)"
"17003","Alexander, IL","531","          Food manufacturing","(D)"
"17003","Alexander, IL","532","          Beverage and tobacco product manufacturing",0
"17003","Alexander, IL","533","          Textile mills",0
"17003","Alexander, IL","534","          Textile product mills",0
"17003","Alexander, IL","535","          Apparel manufacturing",0
"17003","Alexander, IL","536","          Leather and allied product manufacturing",0
"17003","Alexander, IL","537","          Paper manufacturing",0
"17003","Alexander, IL","538","          Printing and related support activities",0
"17003","Alexander, IL","539","          Petroleum and coal products manufacturing",0
"17003","Alexander, IL","541","          Chemical manufacturing",0
"17003","Alexander, IL","542","          Plastics and rubber products manufacturing",0
"17003","Alexander, IL","600","      Wholesale trade","(D)"
"17003","Alexander, IL","700","      Retail trade",2038
"17003","Alexander, IL","701","        Motor vehicle and parts dealers","(D)"
"17003","Alexander, IL","702","        Furniture and home furnishings stores",0
"17003","Alexander, IL","703","        Electronics and appliance stores",0
"17003","Alexander, IL","704","        Building material and garden equipment and supplies dealers",0
"17003","Alexander, IL","705","        Food and beverage stores",958
"17003","Alexander, IL","706","        Health and personal care stores",0
"17003","Alexander, IL","707","        Gasoline stations","(D)"
"17003","Alexander, IL","708","        Clothing and clothing accessories stores","(D)"
"17003","Alexander, IL","709","        Sporting goods, hobby, musical instrument, and book stores",0
"17003","Alexander, IL","711","        General merchandise stores","(D)"
"17003","Alexander, IL","712","        Miscellaneous store retailers","(D)"
"17003","Alexander, IL","713","        Nonstore retailers",0
"17003","Alexander, IL","800","      Transportation and warehousing","(D)"
"17003","Alexander, IL","801","        Air transportation",0
"17003","Alexander, IL","802","        Rail transportation",262
"17003","Alexander, IL","803","        Water transportation",0
"17003","Alexander, IL","804","        Truck transportation","(D)"
"17003","Alexander, IL","805","        Transit and ground passenger transportation",0
"17003","Alexander, IL","806","        Pipeline transportation",0
"17003","Alexander, IL","807","        Scenic and sightseeing transportation",0
"17003","Alexander, IL","808","        Support activities for transportation","(D)"
"17003","Alexander, IL","809","        Couriers and messengers",0
"17003","Alexander, IL","811","        Warehousing and storage",0
"17003","Alexander, IL","900","      Information","(D)"
"17003","Alexander, IL","901","        Publishing industries (except Internet)","(D)"
"17003","Alexander, IL","902","        Motion picture and sound recording industries",0
"17003","Alexander, IL","903","        Broadcasting (except Internet)",0
"17003","Alexander, IL","904","        Internet publishing and broadcasting 4/","(NA)"
"17003","Alexander, IL","905","        Telecommunications",0
"17003","Alexander, IL","906","        Data processing, hosting, and related services",0
"17003","Alexander, IL","907","        Other information services 4/",0
"17003","Alexander, IL","1000","      Finance and insurance","(D)"
"17003","Alexander, IL","1001","        Monetary Authorities-central bank",0
"17003","Alexander, IL","1002","        Credit intermediation and related activities","(D)"
"17003","Alexander, IL","1003","        Securities, commodity contracts, and other financial investments and related activities",0
"17003","Alexander, IL","1004","        Insurance carriers and related activities",226
"17003","Alexander, IL","1005","        Funds, trusts, and other financial vehicles",0
"17003","Alexander, IL","1100","      Real estate and rental and leasing","(D)"
"17003","Alexander, IL","1101","        Real estate","(D)"
"17003","Alexander, IL","1102","        Rental and leasing services",0
